Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,331.000000,333.299988,323.399994,325.450012,267.885040,5729566
2018-01-02,328.000000,328.799988,318.700012,327.750000,269.778229,6721641
2018-01-03,330.350006,335.250000,329.049988,332.500000,273.688049,8171980
2018-01-04,335.200012,341.500000,330.049988,339.100006,279.120667,8879360
2018-01-05,340.500000,346.299988,338.100006,339.549988,279.491058,9693755
2018-01-08,339.899994,341.700012,335.649994,340.250000,280.067261,5023286
2018-01-09,342.250000,342.850006,334.549988,337.700012,277.968292,6677065
2018-01-10,339.850006,343.500000,333.000000,334.799988,275.581207,7713328
2018-01-11,335.000000,336.299988,331.350006,333.899994,274.840454,4128079
2018-01-12,337.000000,341.450012,335.200012,339.549988,279.491058,8144499
2018-01-15,342.000000,344.000000,337.700012,339.200012,279.202972,5084069
2018-01-16,339.799988,340.750000,325.049988,330.149994,271.753723,8117693
2018-01-17,329.899994,336.250000,322.049988,334.899994,275.663544,9947827
2018-01-18,335.899994,336.000000,323.000000,326.700012,268.913971,13916937
2018-01-19,326.500000,333.700012,323.100006,331.649994,272.988403,7650044
2018-01-22,332.500000,332.700012,324.500000,326.950012,269.119720,7508442
2018-01-23,328.100006,349.950012,328.100006,343.500000,282.742401,18222487
2018-01-24,343.399994,347.399994,337.600006,340.000000,279.861450,11024875
2018-01-25,338.899994,352.049988,338.799988,345.600006,284.470978,13605990
2018-01-29,348.350006,355.700012,342.450012,345.000000,283.977081,13215637
2018-01-30,344.899994,344.899994,337.100006,341.299988,280.931549,7382593
2018-01-31,342.000000,346.450012,335.250000,340.350006,280.149567,8287707
2018-02-01,340.000000,346.200012,329.799988,341.450012,281.054993,15344365
2018-02-02,337.399994,345.950012,331.299988,334.299988,275.169678,11879455
2018-02-05,325.000000,332.899994,313.500000,328.850006,270.683685,12360798
2018-02-06,311.100006,328.850006,309.700012,321.649994,264.757202,12008404
2018-02-07,326.500000,331.000000,312.600006,315.700012,259.859619,16798249
2018-02-08,312.500000,318.600006,305.149994,314.450012,258.830719,16604938
2018-02-09,307.049988,321.000000,306.100006,316.299988,260.353516,9515144
2018-02-12,319.950012,319.950012,312.600006,315.549988,259.736145,9097394
2018-02-14,320.250000,323.399994,311.899994,315.750000,259.900787,7154264
2018-02-15,320.100006,328.350006,320.049988,324.399994,267.020752,11559723
2018-02-16,329.899994,329.899994,316.000000,319.750000,263.193237,9116738
2018-02-19,321.100006,324.500000,314.100006,320.350006,263.687134,8642478
2018-02-20,321.000000,331.000000,320.000000,328.700012,270.560181,11395413
2018-02-21,330.000000,331.000000,320.899994,327.600006,269.654785,12281795
2018-02-22,325.299988,330.549988,322.000000,328.649994,270.519043,17254470
2018-02-23,330.049988,340.750000,327.149994,337.899994,278.132935,11270987
2018-02-26,339.399994,345.000000,339.000000,343.149994,282.454285,8842289
2018-02-27,343.500000,344.850006,338.000000,340.600006,280.355377,4697935
2018-02-28,338.700012,338.700012,327.000000,329.750000,271.424469,10566570
2018-03-01,327.200012,333.649994,321.700012,323.250000,266.074188,8160931
2018-03-05,319.000000,321.250000,310.549988,315.899994,260.024261,9269131
2018-03-06,318.299988,327.450012,311.100006,313.450012,258.007629,11634001
2018-03-07,312.600006,313.399994,303.200012,309.350006,254.632797,12198965
2018-03-08,313.899994,317.000000,301.850006,308.399994,253.850815,9818423
2018-03-09,311.799988,316.399994,302.549988,304.149994,250.352554,13854157
2018-03-12,308.299988,318.750000,305.600006,317.399994,261.258942,11167602
2018-03-13,315.000000,324.000000,312.000000,321.049988,264.263275,17819886
2018-03-14,319.549988,323.100006,315.700012,318.950012,262.534760,10148672
2018-03-15,319.700012,320.799988,315.000000,316.950012,260.888519,9166951
2018-03-16,317.000000,317.000000,306.799988,308.899994,254.262405,13398137
2018-03-19,311.450012,313.600006,304.000000,307.200012,252.863098,10063284
2018-03-20,284.799988,293.100006,283.750000,287.100006,253.835632,14598256
2018-03-21,290.000000,293.500000,282.500000,285.750000,252.642044,11337441
2018-03-22,288.799988,294.200012,285.899994,291.799988,257.991089,12008468
2018-03-23,284.250000,285.500000,274.299988,276.000000,244.021713,13290580
2018-03-26,276.399994,286.000000,268.750000,283.299988,250.475891,14875633
2018-03-27,288.000000,289.899994,283.700012,287.000000,253.747238,10333840
2018-03-28,283.950012,285.950012,276.649994,277.850006,245.657379,14701677
2018-04-02,284.000000,284.899994,277.450012,282.299988,249.591751,6555940
2018-04-03,279.000000,284.700012,278.549988,283.200012,250.387527,9718071
2018-04-04,284.450012,289.799988,271.500000,274.299988,242.518677,12818170
2018-04-05,280.600006,291.750000,280.200012,289.899994,256.311218,15456965
2018-04-06,286.000000,287.600006,281.500000,285.049988,252.023148,9519156
2018-04-09,283.700012,289.399994,280.000000,281.350006,248.751846,11022862
2018-04-10,291.000000,292.000000,283.200012,284.100006,251.183243,12178281
2018-04-11,290.100006,297.700012,287.350006,296.799988,262.411743,22771881
2018-04-12,296.000000,296.450012,287.000000,288.700012,255.250290,10682208
2018-04-13,291.149994,294.700012,288.500000,291.649994,257.858429,11510464
2018-04-16,288.049988,291.950012,286.649994,290.299988,256.664856,7545130
2018-04-17,293.399994,295.250000,287.399994,288.799988,255.338654,9828946
2018-04-18,293.000000,294.000000,289.399994,291.100006,257.372192,14009181
2018-04-19,296.750000,313.500000,296.750000,311.700012,275.585388,31082632
2018-04-20,305.450012,309.750000,303.000000,308.600006,272.844574,13535858
2018-04-23,307.700012,311.450012,304.000000,305.049988,269.705872,7058597
2018-04-24,293.000000,299.799988,288.000000,297.399994,262.942230,14885085
2018-04-25,296.600006,297.549988,288.200012,290.200012,256.576447,8297914
2018-04-26,291.500000,293.750000,287.600006,290.299988,256.664856,11827702
2018-04-27,293.000000,296.500000,290.049988,294.049988,259.980377,6853011
2018-04-30,295.399994,302.250000,293.100006,298.399994,263.826355,6843221
2018-05-02,296.649994,296.649994,282.299988,283.399994,250.564331,12277622
2018-05-03,283.950012,288.750000,277.350006,286.200012,253.039917,13002792
2018-05-04,289.450012,290.700012,279.000000,281.649994,249.017075,16087098
2018-05-07,283.000000,289.399994,282.000000,285.450012,252.376816,8242354
2018-05-08,286.399994,287.450012,281.600006,282.899994,250.122253,7858792
2018-05-09,283.000000,290.399994,282.100006,283.149994,250.343292,10284823
2018-05-10,284.750000,285.500000,278.500000,279.700012,247.293030,8814612
2018-05-11,282.899994,287.299988,278.600006,286.950012,253.703018,9774064
2018-05-14,288.000000,288.350006,280.549988,282.100006,249.414948,7062942
2018-05-15,282.950012,285.500000,278.100006,281.700012,249.061325,15412120
2018-05-16,281.649994,284.000000,276.500000,278.799988,246.497284,10781519
2018-05-17,283.200012,283.950012,275.299988,276.950012,244.861664,9379615
2018-05-18,278.200012,278.500000,269.350006,270.299988,238.982117,8928454
2018-05-21,270.299988,273.250000,261.049988,263.850006,233.279449,9703835
2018-05-22,264.899994,270.899994,261.500000,269.950012,238.672699,8021927
2018-05-23,263.399994,263.500000,250.199997,252.649994,223.377121,18226457
2018-05-24,252.199997,253.250000,240.149994,250.600006,221.564651,20219901
2018-05-25,247.300003,256.750000,241.199997,251.800003,222.625626,27429408
2018-05-28,253.350006,255.250000,245.600006,253.649994,224.261276,9732030
2018-05-29,240.000000,255.000000,237.899994,253.250000,223.907608,32936741
2018-05-30,245.000000,252.850006,244.399994,251.100006,222.006714,16362468
2018-05-31,250.500000,252.850006,246.250000,248.300003,219.531128,29327091
2018-06-01,248.000000,258.399994,246.500000,248.250000,219.486923,18640874
2018-06-04,248.750000,249.449997,244.500000,246.750000,218.160721,11484275
2018-06-05,246.250000,247.500000,242.500000,246.250000,217.718658,8543831
2018-06-06,246.350006,248.600006,242.199997,246.449997,217.895477,19831399
2018-06-07,248.550003,256.500000,245.899994,247.199997,218.558594,29651967
2018-06-08,247.199997,247.899994,242.550003,246.300003,217.762863,10413596
2018-06-11,246.300003,248.000000,245.050003,246.100006,217.586029,17253950
2018-06-12,246.500000,247.250000,243.350006,245.500000,217.055557,9625030
2018-06-13,245.699997,245.699997,241.500000,243.100006,214.933624,11470921
2018-06-14,241.000000,243.500000,239.100006,240.050003,212.237015,8930060
2018-06-15,241.000000,241.000000,234.000000,238.600006,210.955017,24482557
2018-06-18,236.000000,236.000000,228.649994,232.199997,205.296524,15575678
2018-06-19,228.949997,229.850006,221.600006,224.300003,198.311859,22092589
2018-06-20,226.000000,230.149994,225.250000,228.699997,202.202057,17011598
2018-06-21,227.500000,230.800003,226.000000,229.050003,202.511505,16864366
2018-06-22,228.050003,229.850006,226.550003,228.550003,202.069443,15062203
2018-06-25,229.000000,239.500000,229.000000,230.649994,203.926102,40657710
2018-06-26,228.800003,233.399994,225.550003,231.449997,204.633438,13407360
2018-06-27,233.000000,233.250000,228.149994,230.100006,203.439850,12766494
2018-06-28,231.000000,233.600006,229.500000,230.000000,203.351440,12656271
2018-06-29,228.000000,237.850006,228.000000,236.199997,208.833084,11526273
2018-07-02,234.750000,243.800003,228.300003,239.850006,212.060181,17820231
2018-07-03,236.199997,236.199997,230.050003,231.050003,204.279785,15851682
2018-07-04,229.449997,229.449997,225.199997,228.050003,201.627365,11756061
2018-07-05,227.000000,227.000000,219.000000,221.300003,195.659439,12643742
2018-07-06,219.000000,224.699997,216.550003,219.100006,193.714355,14107005
2018-07-09,222.250000,227.550003,221.100006,226.600006,200.345383,10712428
2018-07-10,227.050003,228.000000,224.850006,226.050003,199.859100,8513918
2018-07-11,222.899994,222.899994,216.250000,218.100006,192.830215,16370691
2018-07-12,218.500000,221.000000,211.000000,211.399994,186.906479,16378996
2018-07-13,213.000000,213.449997,209.100006,210.449997,186.066544,10718429
2018-07-16,211.500000,212.000000,204.800003,206.399994,182.485809,9413761
2018-07-17,206.000000,212.350006,203.199997,210.100006,185.757111,7590806
2018-07-18,210.000000,210.649994,202.000000,203.699997,180.098648,7846762
2018-07-19,205.350006,211.250000,201.550003,208.199997,184.077240,12107204
2018-07-20,206.050003,206.550003,200.649994,202.399994,178.949265,9115587
2018-07-23,204.000000,213.399994,200.699997,211.600006,187.083328,8931165
2018-07-24,209.000000,220.000000,208.000000,216.250000,191.194565,15754032
2018-07-25,217.149994,221.750000,216.750000,218.949997,193.581711,11261855
2018-07-26,220.699997,221.649994,215.500000,216.500000,191.415588,7164072
2018-07-27,218.000000,221.000000,216.550003,219.750000,194.289017,6695579
2018-07-30,221.899994,226.000000,220.600006,224.899994,198.842331,8293254
2018-07-31,225.000000,225.050003,218.750000,222.199997,196.455154,7121436
2018-08-01,219.800003,229.000000,216.199997,218.199997,192.918610,14690496
2018-08-02,217.000000,217.899994,211.449997,214.149994,189.337860,14319624
2018-08-03,215.050003,223.699997,214.850006,222.399994,196.631989,18274236
2018-08-06,224.500000,225.449997,221.699997,224.350006,198.356064,6347884
2018-08-07,225.000000,230.750000,223.500000,226.800003,200.522186,16043721
2018-08-08,228.449997,229.300003,223.600006,224.800003,198.753922,9371088
2018-08-09,225.949997,232.500000,222.000000,230.600006,203.881927,12895636
2018-08-10,232.899994,233.699997,222.199997,223.699997,197.781372,11685692
2018-08-13,218.399994,218.399994,213.500000,216.300003,191.238770,12726787
2018-08-14,216.000000,217.649994,213.050003,215.100006,190.177795,10074719
2018-08-16,208.000000,210.899994,205.350006,208.800003,184.607742,14309862
2018-08-17,212.199997,216.699997,211.000000,215.199997,190.266205,13308267
2018-08-20,216.899994,222.800003,215.600006,221.850006,196.145737,10506489
2018-08-21,223.050003,223.449997,218.100006,218.850006,193.493317,7890862
2018-08-23,218.500000,218.500000,212.050003,214.800003,189.912552,9896492
2018-08-24,214.000000,225.000000,212.250000,224.050003,198.090805,12032977
2018-08-27,225.949997,227.500000,222.500000,225.500000,199.372803,9338893
2018-08-28,227.050003,231.899994,225.550003,230.300003,203.616684,15432343
2018-08-29,233.399994,238.250000,227.350006,228.050003,201.627365,31404401
2018-08-30,229.850006,231.050003,226.149994,230.000000,203.351440,24136924
2018-08-31,229.000000,230.600006,224.000000,227.699997,201.317917,15184001
2018-09-03,228.899994,230.250000,226.750000,228.449997,201.981033,7897757
2018-09-04,228.649994,229.600006,221.649994,224.800003,198.753922,11341666
2018-09-05,224.000000,230.000000,220.699997,229.449997,202.865158,10415515
2018-09-06,230.949997,230.949997,225.699997,229.899994,203.263031,13519245
2018-09-07,229.350006,233.699997,226.699997,230.250000,203.572464,24336043
2018-09-10,233.000000,233.800003,222.199997,223.500000,197.604538,18259846
2018-09-11,225.000000,227.399994,218.000000,219.649994,194.200607,14276023
2018-09-12,220.750000,225.800003,219.000000,223.600006,197.692963,8849353
2018-09-14,228.800003,236.449997,226.050003,235.600006,208.302612,17674079
2018-09-17,235.449997,237.750000,232.149994,234.899994,207.683701,13008924
2018-09-18,235.000000,235.000000,228.000000,230.149994,203.484039,13228698
2018-09-19,230.750000,232.350006,227.000000,230.100006,203.439850,18255648
2018-09-21,230.949997,235.300003,221.100006,230.449997,203.749298,42361028
2018-09-24,232.500000,237.550003,228.250000,229.899994,203.263031,20942520
2018-09-25,230.199997,232.899994,226.699997,230.399994,203.705078,16770608
2018-09-26,231.100006,245.000000,229.699997,241.550003,213.563217,40596440
2018-09-27,241.850006,246.800003,238.600006,240.649994,212.767487,25137487
2018-09-28,241.250000,242.800003,227.100006,232.300003,205.384949,20835004
