Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,922.700012,922.700012,907.500000,909.750000,895.929260,4321686
2018-01-02,913.000000,919.549988,906.400024,911.150024,897.308044,4342815
2018-01-03,925.000000,926.000000,913.049988,914.799988,900.902649,6175312
2018-01-04,918.150024,921.799988,915.700012,920.299988,906.319092,4118581
2018-01-05,921.799988,926.900024,920.250000,923.250000,909.224243,3401905
2018-01-08,926.099976,931.000000,923.500000,928.549988,914.443665,4035417
2018-01-09,928.150024,943.900024,924.000000,940.950012,926.655334,6534997
2018-01-10,943.000000,947.400024,935.500000,942.349976,928.033997,5361502
2018-01-11,941.799988,942.650024,935.000000,937.750000,923.503967,3588377
2018-01-12,943.000000,952.799988,938.250000,949.000000,934.583069,6890028
2018-01-15,950.000000,958.500000,945.200012,949.150024,934.730774,5084113
2018-01-16,947.700012,947.700012,920.000000,922.950012,908.928772,4948895
2018-01-17,926.000000,929.000000,907.000000,924.500000,910.455261,6036432
2018-01-18,929.000000,929.599976,915.099976,919.700012,905.728149,4289053
2018-01-19,923.000000,934.400024,922.099976,931.299988,917.151855,4559564
2018-01-22,948.000000,974.299988,940.000000,971.500000,956.741272,20892838
2018-01-23,975.000000,990.950012,975.000000,983.250000,968.312744,10298500
2018-01-24,981.750000,981.750000,962.650024,966.349976,951.669434,6532672
2018-01-25,967.900024,972.000000,956.150024,965.900024,951.226318,6249419
2018-01-29,966.200012,977.299988,959.299988,964.500000,949.847595,4524605
2018-01-30,965.799988,965.799988,949.000000,950.400024,935.961853,4198139
2018-01-31,950.000000,964.500000,941.549988,961.299988,946.696228,5738209
2018-02-01,963.250000,972.599976,936.599976,943.849976,929.511230,7554587
2018-02-02,935.000000,943.950012,901.000000,904.349976,890.611328,13242095
2018-02-05,894.000000,912.500000,881.799988,902.150024,888.444763,8773525
2018-02-06,877.000000,898.000000,871.000000,892.099976,878.547424,11000567
2018-02-07,902.549988,905.400024,890.000000,894.400024,880.812500,7100838
2018-02-08,897.900024,910.650024,892.349976,904.549988,890.808289,6320734
2018-02-09,889.000000,902.000000,886.000000,897.849976,884.210083,5294279
2018-02-12,903.000000,918.200012,902.049988,915.500000,901.591980,5429792
2018-02-14,923.000000,942.500000,921.000000,933.650024,919.466248,10170959
2018-02-15,937.650024,945.750000,928.150024,935.650024,921.435913,6109454
