Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1163.000000,1165.000000,1138.099976,1143.650024,1122.854980,591349
2018-01-02,1146.000000,1150.000000,1134.050049,1142.750000,1121.971313,516171
2018-01-03,1149.000000,1149.000000,1135.300049,1141.900024,1121.136841,593809
2018-01-04,1149.000000,1178.000000,1145.900024,1172.050049,1150.738525,729965
2018-01-05,1178.000000,1192.000000,1167.449951,1185.250000,1163.698608,1151320
2018-01-08,1190.000000,1190.849976,1173.500000,1182.000000,1160.507568,928875
2018-01-09,1183.099976,1197.199951,1175.099976,1193.050049,1171.356812,699621
2018-01-10,1186.000000,1189.099976,1171.099976,1177.400024,1155.991455,1102382
2018-01-11,1179.900024,1189.949951,1170.000000,1188.949951,1167.331177,475476
2018-01-12,1187.000000,1192.550049,1176.000000,1189.699951,1168.067627,390841
2018-01-15,1189.650024,1208.199951,1182.449951,1204.050049,1182.156860,723833
2018-01-16,1204.050049,1204.050049,1184.000000,1188.750000,1167.135010,557253
2018-01-17,1186.800049,1196.400024,1178.400024,1193.750000,1172.044067,506648
2018-01-18,1195.000000,1204.099976,1181.000000,1188.250000,1166.644043,500762
2018-01-19,1183.099976,1195.000000,1177.900024,1189.900024,1168.264038,722692
2018-01-22,1192.000000,1193.699951,1164.099976,1176.000000,1154.616699,942542
2018-01-23,1176.000000,1177.849976,1156.199951,1169.900024,1148.627686,1841634
2018-01-24,1170.000000,1171.650024,1145.050049,1151.050049,1130.120605,1122469
2018-01-25,1148.000000,1161.400024,1143.449951,1150.449951,1129.531250,1563047
2018-01-29,1154.000000,1164.250000,1147.599976,1152.050049,1131.102295,1538762
2018-01-30,1151.000000,1152.000000,1123.449951,1126.699951,1106.213257,1404578
2018-01-31,1128.000000,1139.800049,1124.000000,1128.300049,1107.784180,961596
2018-02-01,1126.000000,1157.349976,1126.000000,1153.000000,1132.034912,1103162
2018-02-02,1148.000000,1148.000000,1123.949951,1137.900024,1117.209717,872105
2018-02-05,1121.199951,1140.000000,1114.300049,1134.099976,1113.478638,1263378
2018-02-06,1110.000000,1127.000000,1090.099976,1110.250000,1090.062256,1055719
2018-02-07,1115.000000,1125.199951,1106.550049,1121.099976,1100.714966,854461
2018-02-08,1128.000000,1131.300049,1110.000000,1124.050049,1103.611450,1185917
2018-02-09,1101.000000,1142.250000,1101.000000,1130.750000,1110.189453,666922
2018-02-12,1138.000000,1150.000000,1135.900024,1144.400024,1123.591431,646362
2018-02-14,1144.000000,1144.000000,1127.000000,1139.150024,1118.436768,691596
2018-02-15,1135.000000,1139.900024,1123.000000,1135.449951,1114.803955,471072
2018-02-16,1136.500000,1147.000000,1130.000000,1143.849976,1123.051392,734476
2018-02-19,1145.000000,1145.800049,1111.550049,1120.349976,1099.978516,443677
2018-02-20,1123.949951,1136.000000,1112.750000,1126.400024,1105.918701,662281
2018-02-21,1132.349976,1133.250000,1115.000000,1127.199951,1106.704102,720563
2018-02-22,1122.699951,1126.400024,1101.000000,1118.099976,1097.769531,1559398
2018-02-23,1117.050049,1117.050049,1098.900024,1101.800049,1081.765991,1140118
2018-02-26,1110.000000,1110.000000,1095.400024,1104.800049,1084.711548,1170283
2018-02-27,1104.800049,1113.000000,1098.949951,1110.349976,1090.160522,610498
2018-02-28,1104.000000,1124.000000,1099.250000,1117.750000,1097.425903,1006756
2018-03-01,1120.000000,1124.199951,1108.000000,1118.900024,1098.555054,736217
2018-03-05,1110.250000,1114.849976,1100.000000,1105.949951,1085.840332,529677
2018-03-06,1112.599976,1112.599976,1100.000000,1101.599976,1081.569580,702294
2018-03-07,1105.699951,1109.949951,1095.250000,1107.250000,1087.116821,669686
2018-03-08,1114.800049,1130.000000,1107.599976,1127.599976,1107.096680,751329
2018-03-09,1133.000000,1140.000000,1124.400024,1129.099976,1108.569458,1158526
2018-03-12,1131.099976,1134.000000,1120.000000,1131.500000,1110.925903,527293
2018-03-13,1125.199951,1143.000000,1125.199951,1140.300049,1119.565918,711550
2018-03-14,1139.949951,1144.449951,1131.099976,1137.000000,1116.325928,1360578
2018-03-15,1132.150024,1163.750000,1132.150024,1160.800049,1139.693115,1146702
2018-03-16,1159.900024,1159.900024,1118.400024,1122.750000,1102.335083,1946844
2018-03-19,1121.150024,1124.000000,1097.900024,1102.550049,1082.502441,855444
2018-03-20,1102.000000,1117.000000,1092.150024,1106.500000,1086.380493,720303
2018-03-21,1106.500000,1116.000000,1100.000000,1103.550049,1083.484253,612237
2018-03-22,1102.500000,1110.000000,1100.000000,1107.099976,1086.969482,478426
2018-03-23,1094.849976,1120.000000,1093.050049,1112.650024,1092.418579,828523
2018-03-26,1112.000000,1119.000000,1101.000000,1117.550049,1097.229492,479675
2018-03-27,1119.000000,1138.000000,1116.400024,1131.099976,1110.533203,672158
2018-03-28,1130.849976,1130.849976,1115.000000,1120.400024,1100.027588,699839
2018-04-02,1120.400024,1153.949951,1111.500000,1150.150024,1129.236816,428944
2018-04-03,1145.050049,1156.699951,1138.949951,1152.099976,1131.151367,561118
2018-04-04,1156.900024,1157.699951,1126.000000,1136.000000,1115.343994,607619
2018-04-05,1151.800049,1156.800049,1137.550049,1142.900024,1122.118652,549137
2018-04-06,1142.900024,1152.800049,1135.000000,1143.500000,1122.707764,395626
2018-04-09,1145.000000,1171.500000,1139.949951,1157.449951,1136.403931,837112
2018-04-10,1159.000000,1167.699951,1152.900024,1156.750000,1135.716919,546269
